2020-08-14T00:00:00L02108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分,Table 2. Average Family Income and Expenditure per Household by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
2.菸酒及檳榔,10997.781423,13283.179398,12956.29422,10144.046763,11711.975509,9912.3906301,8279.2217326,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,16945.734516,10697.673036,13157.118794,19869.599094,34753.07117,26760.183163,18956.120942,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,106418.75778,126830.75711,137818.50513,112319.16074,163219.31208,243877.16695,152132.19483,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,90259.718935,112511.70598,121977.47758,92252.169085,144029.56123,225088.51594,136792.5948,(1)Rent and water charges
(2)電費及燃料,16159.038848,14319.051125,15841.027555,20066.991657,19189.750855,18788.651008,15339.600028,(2)Power and fuel
5.家具設備及家務維護,16271.084253,8133.524874,11353.398549,12382.630812,27348.091892,27593.727976,20021.607628,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,117923.65575,115828.27517,131011.83816,149136.45537,133081.82203,133085.74721,130858.87067,6.Health
7.交通,55312.926455,46689.617439,53554.116943,41670.974714,65634.185476,105598.83781,76429.411032,7.Transport
(1)個人交通工具之購置,3200.0856793,10003.569154,7749.0180015,4894.5467385,2804.5189757,25384.06924,21335.684426,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,41136.517127,28529.118495,34585.045084,25065.373847,38969.095721,57395.042848,41105.623693,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,6370.523541,4248.9450065,5347.882887,10068.066337,19491.102387,13155.02544,6572.1732745,(3)Transport services
