COUNTY_ID,COUNTY,TOWN_ID,TOWN,NIGHT_WORK,DAY_WORK(0700~1300),DAY_WORK(1300~1900),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(0700~1300),DAY_WEEKEND(1300~1900),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日夜間停留人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
64000,高雄市,64000120,鳳山區,311962,254056,253899,253043,311477,290121,285391,288296,837032,735152,793638,1228499,738914,880138,895148,1219326,"112Y11M"
64000,高雄市,64000130,林園區,51697,48053,47788,47798,51990,50243,49462,50137,143573,122952,132249,179297,128378,133094,135751,171274,"112Y11M"
64000,高雄市,64000140,大寮區,115257,132218,130611,131597,114579,116660,113685,115779,408126,351016,390557,481276,309017,324364,352489,426473,"112Y11M"
64000,高雄市,64000150,大樹區,40747,43522,44251,43872,40457,42789,45831,43691,107737,102712,109407,127349,96887,116514,123111,133157,"112Y11M"
64000,高雄市,64000160,大社區,40713,40540,39589,40037,40654,40336,38852,39875,119526,110687,115176,154092,107979,117322,116729,148666,"112Y11M"
64000,高雄市,64000170,仁武區,100700,105179,103867,104683,101690,100863,97837,100162,346051,303932,337823,448669,264582,297805,320665,409201,"112Y11M"
64000,高雄市,64000180,鳥松區,52866,64567,62216,62975,52289,57200,54878,55951,188401,182341,191066,228476,146899,169130,171453,194918,"112Y11M"
64000,高雄市,64000190,岡山區,95970,109317,108235,108693,94536,97323,96275,96852,343417,316794,331467,451418,268278,324670,321583,426875,"112Y11M"
64000,高雄市,64000200,橋頭區,41904,36506,35783,35993,42198,41263,40272,40735,137824,113719,125677,176044,114080,133913,145343,171655,"112Y11M"
64000,高雄市,64000210,燕巢區,41358,55548,55597,55462,38931,43295,42143,42940,148682,154757,159555,171593,115221,138677,145014,166212,"112Y11M"
64000,高雄市,64000220,田寮區,4178,4285,4252,4305,4375,5739,5757,5736,20708,22694,24847,25422,26813,40754,42139,42997,"112Y11M"
64000,高雄市,64000230,阿蓮區,23632,21244,21197,21083,23772,23549,23246,23226,72114,64650,66602,90031,70790,78952,79044,95208,"112Y11M"
64000,高雄市,64000240,路竹區,49509,63121,61897,62631,48966,51976,50959,51679,197473,179494,189160,245737,148898,170449,179005,236912,"112Y11M"
64000,高雄市,64000250,湖內區,28358,22861,23283,22902,28652,26028,25518,25985,81007,65449,69662,102461,68481,73891,79026,99355,"112Y11M"
64000,高雄市,64000260,茄萣區,22138,20015,19854,19979,22692,22278,22178,22236,54378,47537,50773,67951,53747,63520,74730,78954,"112Y11M"
64000,高雄市,64000270,永安區,9706,13900,13408,13604,9713,11445,10902,11170,42123,35916,38340,40026,31360,32530,34681,35882,"112Y11M"
64000,高雄市,64000280,彌陀區,13792,11298,11514,11336,14142,13336,13436,13388,35042,28181,30279,42322,32295,36269,40039,43730,"112Y11M"
64000,高雄市,64000290,梓官區,29193,22950,23432,23193,29509,27124,27540,27404,73148,62095,67213,96689,66811,79418,90887,102758,"112Y11M"
64000,高雄市,64000300,旗山區,30393,30876,30746,30707,30360,30728,31002,30709,95722,100564,106730,120496,94050,135062,147011,144891,"112Y11M"
64000,高雄市,64000310,美濃區,24709,23298,23472,23326,26799,27846,28670,28073,63991,65661,70098,75354,69189,102438,103426,89706,"112Y11M"
